"continent","iso","admin_0","admin_1","t_lci","t_med","t_uci","scenario"
"Africa","AGO","Angola","Bengo","40+","40+","40+","Central"
"Africa","AGO","Angola","Benguela","11.39","11.92","12.49","Central"
"Africa","AGO","Angola","Bie","40+","40+","40+","Central"
"Africa","AGO","Angola","Cabinda","40+","40+","40+","Central"
"Africa","AGO","Angola","Cuando Cubango","40+","40+","40+","Central"
"Africa","AGO","Angola","Cuanza Norte","40+","40+","40+","Central"
"Africa","AGO","Angola","Cuanza Sul","40+","40+","40+","Central"
"Africa","AGO","Angola","Cunene","7.9","8.18","8.48","Central"
"Africa","AGO","Angola","Huambo","8.25","8.56","8.9","Central"
"Africa","AGO","Angola","Huila","5.29","5.45","5.62","Central"
"Africa","AGO","Angola","Luanda","20.3","21.52","22.9","Central"
"Africa","AGO","Angola","Lunda Norte","40+","40+","40+","Central"
"Africa","AGO","Angola","Lunda Sul","24.78","26.57","28.64","Central"
"Africa","AGO","Angola","Malanje","40+","40+","40+","Central"
"Africa","AGO","Angola","Moxico","40+","40+","40+","Central"
"Africa","AGO","Angola","Namibe","3.94","4.05","4.17","Central"
"Africa","AGO","Angola","Uige","40+","40+","40+","Central"
"Africa","AGO","Angola","Zaire","40+","40+","40+","Central"
"Africa","BDI","Burundi","Bubanza","9.43","9.66","9.91","Central"
"Africa","BDI","Burundi","Bujumbura Mairie","6.14","6.27","6.39","Central"
"Africa","BDI","Burundi","Bujumbura Rural","6.84","6.99","7.15","Central"
"Africa","BDI","Burundi","Bururi","3.26","3.32","3.39","Central"
"Africa","BDI","Burundi","Cankuzo","40+","40+","40+","Central"
"Africa","BDI","Burundi","Cibitoke","21.6","22.67","23.84","Central"
"Africa","BDI","Burundi","Gitega","33.25","35.76","38.68","Central"
"Africa","BDI","Burundi","Karuzi","40+","40+","40+","Central"
"Africa","BDI","Burundi","Kayanza","25.02","26.44","28.04","Central"
"Africa","BDI","Burundi","Kirundo","40+","40+","40+","Central"
"Africa","BDI","Burundi","Makamba","16.25","16.88","17.57","Central"
"Africa","BDI","Burundi","Muramvya","10.75","11.05","11.37","Central"
"Africa","BDI","Burundi","Muyinga","40+","40+","40+","Central"
"Africa","BDI","Burundi","Mwaro","5.69","5.81","5.92","Central"
"Africa","BDI","Burundi","Ngozi","40+","40+","40+","Central"
"Africa","BDI","Burundi","Rumonge","9.66","9.94","10.23","Central"
"Africa","BDI","Burundi","Rutana","27.24","28.93","30.85","Central"
"Africa","BDI","Burundi","Ruyigi","40+","40+","40+","Central"
"Africa","BEN","Benin","Alibori","39.34","40+","40+","Central"
"Africa","BEN","Benin","Atakora","40+","40+","40+","Central"
"Africa","BEN","Benin","Atlantique","40+","40+","40+","Central"
"Africa","BEN","Benin","Borgou","40+","40+","40+","Central"
"Africa","BEN","Benin","Collines","40+","40+","40+","Central"
"Africa","BEN","Benin","Couffo","40+","40+","40+","Central"
"Africa","BEN","Benin","Donga","40+","40+","40+","Central"
"Africa","BEN","Benin","Littoral","18.98","19.85","20.8","Central"
"Africa","BEN","Benin","Mono","40+","40+","40+","Central"
"Africa","BEN","Benin","Oueme","27.69","29.49","31.53","Central"
"Africa","BEN","Benin","Plateau","40+","40+","40+","Central"
"Africa","BEN","Benin","Zou","40+","40+","40+","Central"
"Africa","BFA","Burkina Faso","Boucle du Mouhoun","40+","40+","40+","Central"
"Africa","BFA","Burkina Faso","Cascades","38.23","40+","40+","Central"
"Africa","BFA","Burkina Faso","Centre","17.49","18.18","18.92","Central"
"Africa","BFA","Burkina Faso","Centre-Est","30.84","32.97","35.41","Central"
"Africa","BFA","Burkina Faso","Centre-Nord","40+","40+","40+","Central"
"Africa","BFA","Burkina Faso","Centre-Ouest","40+","40+","40+","Central"
"Africa","BFA","Burkina Faso","Centre-Sud","25.58","27.04","28.68","Central"
"Africa","BFA","Burkina Faso","Est","40+","40+","40+","Central"
"Africa","BFA","Burkina Faso","Haut-Bassins","24.38","25.72","27.21","Central"
"Africa","BFA","Burkina Faso","Nord","40+","40+","40+","Central"
"Africa","BFA","Burkina Faso","Plateau-Central","40+","40+","40+","Central"
"Africa","BFA","Burkina Faso","Sahel","40+","40+","40+","Central"
"Africa","BFA","Burkina Faso","Sud-Ouest","40+","40+","40+","Central"
"Africa","BWA","Botswana","Central","1.43","1.54","1.67","Central"
"Africa","BWA","Botswana","Chobe","1.47","1.58","1.72","Central"
"Africa","BWA","Botswana","Ghanzi","1.49","1.6","1.72","Central"
"Africa","BWA","Botswana","Kgatleng","1.45","1.57","1.71","Central"
"Africa","BWA","Botswana","Kweneng","1.46","1.58","1.72","Central"
"Africa","BWA","Botswana","North-East","1.44","1.56","1.7","Central"
"Africa","BWA","Botswana","North-West","1.46","1.57","1.7","Central"
"Africa","CAF","Central African Republic","Bamingui-Bangoran","15.76","16.44","17.17","Central"
"Africa","CAF","Central African Republic","Bangui","40+","40+","40+","Central"
"Africa","CAF","Central African Republic","Basse-Kotto","40+","40+","40+","Central"
"Africa","CAF","Central African Republic","Haut-Mbomou","40+","40+","40+","Central"
"Africa","CAF","Central African Republic","Haute-Kotto","32.14","34.64","37.57","Central"
"Africa","CAF","Central African Republic","Kemo","40+","40+","40+","Central"
"Africa","CAF","Central African Republic","Lobaye","40+","40+","40+","Central"
"Africa","CAF","Central African Republic","Mambere-Kadei","40+","40+","40+","Central"
"Africa","CAF","Central African Republic","Mbomou","40+","40+","40+","Central"
"Africa","CAF","Central African Republic","Nana-Gribizi","24.36","25.84","27.51","Central"
"Africa","CAF","Central African Republic","Nana-Mambere","40+","40+","40+","Central"
"Africa","CAF","Central African Republic","Ombella M'Poko","40+","40+","40+","Central"
"Africa","CAF","Central African Republic","Ouaka","40+","40+","40+","Central"
"Africa","CAF","Central African Republic","Ouham","23.1","24.43","25.93","Central"
"Africa","CAF","Central African Republic","Ouham Pende","26.86","28.64","30.67","Central"
"Africa","CAF","Central African Republic","Sangha-Mbaere","40+","40+","40+","Central"
"Africa","CAF","Central African Republic","Vakaga","14.41","15","15.64","Central"
"Africa","CIV","Côte d'Ivoire","Abidjan","9.62","9.93","10.26","Central"
"Africa","CIV","Côte d'Ivoire","Bas-Sassandra","40+","40+","40+","Central"
"Africa","CIV","Côte d'Ivoire","Comoe","40+","40+","40+","Central"
"Africa","CIV","Côte d'Ivoire","Denguele","16.69","17.44","18.27","Central"
"Africa","CIV","Côte d'Ivoire","Goh-Djiboua","40+","40+","40+","Central"
"Africa","CIV","Côte d'Ivoire","Lacs","40+","40+","40+","Central"
"Africa","CIV","Côte d'Ivoire","Lagunes","26.25","27.94","29.86","Central"
"Africa","CIV","Côte d'Ivoire","Montagnes","40+","40+","40+","Central"
"Africa","CIV","Côte d'Ivoire","Sassandra-Marahoue","40+","40+","40+","Central"
"Africa","CIV","Côte d'Ivoire","Savanes","21.67","22.85","24.16","Central"
"Africa","CIV","Côte d'Ivoire","Vallee du Bandama","40+","40+","40+","Central"
"Africa","CIV","Côte d'Ivoire","Woroba","40+","40+","40+","Central"
"Africa","CIV","Côte d'Ivoire","Yamoussoukro","40+","40+","40+","Central"
"Africa","CIV","Côte d'Ivoire","Zanzan","23.28","24.7","26.31","Central"
"Africa","CMR","Cameroon","Adamaoua","40+","40+","40+","Central"
"Africa","CMR","Cameroon","Centre","18.38","19.22","20.14","Central"
"Africa","CMR","Cameroon","Est","40+","40+","40+","Central"
"Africa","CMR","Cameroon","Extreme Nord","13.2","13.66","14.16","Central"
"Africa","CMR","Cameroon","Littoral","9.49","9.77","10.06","Central"
"Africa","CMR","Cameroon","Nord","20.07","21.05","22.12","Central"
"Africa","CMR","Cameroon","North West","8.76","9","9.26","Central"
