"continent","iso","admin_0","admin_1","t_lci","t_med","t_uci","scenario"
"Africa","AGO","Angola","Bengo","40+","40+","40+","Central"
"Africa","AGO","Angola","Benguela","40+","40+","40+","Central"
"Africa","AGO","Angola","Bie","40+","40+","40+","Central"
"Africa","AGO","Angola","Cabinda","40+","40+","40+","Central"
"Africa","AGO","Angola","Cuando Cubango","40+","40+","40+","Central"
"Africa","AGO","Angola","Cuanza Norte","40+","40+","40+","Central"
"Africa","AGO","Angola","Cuanza Sul","40+","40+","40+","Central"
"Africa","AGO","Angola","Cunene","26.7","27.6","28.5","Central"
"Africa","AGO","Angola","Huambo","40+","40+","40+","Central"
"Africa","AGO","Angola","Huila","38.7","39.9",NA,"Central"
"Africa","AGO","Angola","Luanda","40+","40+","40+","Central"
"Africa","AGO","Angola","Lunda Norte","40+","40+","40+","Central"
"Africa","AGO","Angola","Lunda Sul","40+","40+","40+","Central"
"Africa","AGO","Angola","Malanje","40+","40+","40+","Central"
"Africa","AGO","Angola","Moxico","40+","40+","40+","Central"
"Africa","AGO","Angola","Namibe","28","28.9","30","Central"
"Africa","AGO","Angola","Uige","40+","40+","40+","Central"
"Africa","AGO","Angola","Zaire","40+","40+","40+","Central"
"Africa","BDI","Burundi","Bubanza","20.5","20.9","21.4","Central"
"Africa","BDI","Burundi","Bujumbura Mairie","32.7","33.4","34","Central"
"Africa","BDI","Burundi","Bujumbura Rural","17.9","18.2","18.6","Central"
"Africa","BDI","Burundi","Bururi","29.8","30.5","31","Central"
"Africa","BDI","Burundi","Cankuzo","40+","40+","40+","Central"
"Africa","BDI","Burundi","Cibitoke","32.7","33.9","35.3","Central"
"Africa","BDI","Burundi","Gitega","40+","40+","40+","Central"
"Africa","BDI","Burundi","Karuzi","40+","40+","40+","Central"
"Africa","BDI","Burundi","Kayanza","40+","40+","40+","Central"
"Africa","BDI","Burundi","Kirundo","40+","40+","40+","Central"
"Africa","BDI","Burundi","Makamba","40+","40+","40+","Central"
"Africa","BDI","Burundi","Muramvya","37.3","38.2","39","Central"
"Africa","BDI","Burundi","Muyinga","40+","40+","40+","Central"
"Africa","BDI","Burundi","Mwaro","32.2","33","33.6","Central"
"Africa","BDI","Burundi","Ngozi","40+","40+","40+","Central"
"Africa","BDI","Burundi","Rumonge","36.2","37.1","37.9","Central"
"Africa","BDI","Burundi","Rutana","40+","40+","40+","Central"
"Africa","BDI","Burundi","Ruyigi","40+","40+","40+","Central"
"Africa","BEN","Benin","Alibori","40+","40+","40+","Central"
"Africa","BEN","Benin","Atakora","40+","40+","40+","Central"
"Africa","BEN","Benin","Atlantique","40+","40+","40+","Central"
"Africa","BEN","Benin","Borgou","40+","40+","40+","Central"
"Africa","BEN","Benin","Collines","40+","40+","40+","Central"
"Africa","BEN","Benin","Couffo","40+","40+","40+","Central"
"Africa","BEN","Benin","Donga","40+","40+","40+","Central"
"Africa","BEN","Benin","Littoral","40+","40+","40+","Central"
"Africa","BEN","Benin","Mono","40+","40+","40+","Central"
"Africa","BEN","Benin","Oueme","40+","40+","40+","Central"
"Africa","BEN","Benin","Plateau","40+","40+","40+","Central"
"Africa","BEN","Benin","Zou","40+","40+","40+","Central"
"Africa","BFA","Burkina Faso","Boucle du Mouhoun","40+","40+","40+","Central"
"Africa","BFA","Burkina Faso","Cascades","40+","40+","40+","Central"
"Africa","BFA","Burkina Faso","Centre","40+","40+","40+","Central"
"Africa","BFA","Burkina Faso","Centre-Est","37.4","39.6",NA,"Central"
"Africa","BFA","Burkina Faso","Centre-Nord","40+","40+","40+","Central"
"Africa","BFA","Burkina Faso","Centre-Ouest","40+","40+","40+","Central"
"Africa","BFA","Burkina Faso","Centre-Sud","32.1","33.7","35.4","Central"
"Africa","BFA","Burkina Faso","Est","40+","40+","40+","Central"
"Africa","BFA","Burkina Faso","Haut-Bassins","40+","40+","40+","Central"
"Africa","BFA","Burkina Faso","Nord","40+","40+","40+","Central"
"Africa","BFA","Burkina Faso","Plateau-Central","40+","40+","40+","Central"
"Africa","BFA","Burkina Faso","Sahel","40+","40+","40+","Central"
"Africa","BFA","Burkina Faso","Sud-Ouest","40+","40+","40+","Central"
"Africa","BWA","Botswana","Central","11.6","12.2","12.8","Central"
"Africa","BWA","Botswana","Chobe","6.7","6.9","7.1","Central"
"Africa","BWA","Botswana","Francistown","40+","40+","40+","Central"
