"","id_1","Micro.2.10","hrp2_risk","hrp2_prospective_risk"
"1",10312903,NA,NA,NA
"2",10312910,1.02950646870535e-05,"High",NA
"3",10313012,0.000269893642576605,"High",NA
"4",10313016,1.4550618593876e-06,"High",NA
"5",10313034,1.82407033363373e-05,"High",NA
"6",10313066,4.68420034260807e-06,"High",NA
"7",10313075,2.36800963804282e-06,"High",NA
"8",10313131,4.81125740257501e-06,"High",NA
"9",10313482,0.00132072539631619,"High",NA
"10",10313624,4.15454676050865e-05,"High",NA
"11",10313664,1.26027116480892e-05,"High",NA
"12",10313700,0.000204052774641258,"High",NA
"13",10313718,9.80773783556959e-06,"High",NA
"14",10313764,0.000275527356988073,"High",NA
"15",10313775,1.29296532272283e-05,"High",NA
"16",10313795,1.06704642626542e-05,"High",NA
"17",10313948,2.0573453069942e-05,"High",NA
"18",10314021,2.24729272390835e-06,"High",NA
"19",10314066,5.13073817167522e-06,"High",NA
"20",10314432,3.35176462400322e-05,"High",NA
"21",10314437,6.27783469887596e-05,"High",NA
"22",10314470,1.13359640514247e-05,"High",NA
"23",10314510,1.39740894841102e-05,"High",NA
"24",10314617,0.000919269064959508,"High",NA
"25",10314655,3.38768041894826e-05,"High",NA
"26",10314839,1.57642436945398e-06,"High",NA
"27",10314871,4.50166314463625e-06,"High",NA
"28",10315009,6.77507507828712e-06,"High",NA
"29",10315627,2.09809672050764e-05,"High",NA
"30",10315749,9.42105179825644e-06,"High",NA
"31",10315985,3.02406966903775e-06,"High",NA
"32",10316255,5.14438025559635e-06,"High",NA
"33",10316303,3.23238242740316e-07,"High",NA
"34",10316393,5.91226743017472e-05,"High",NA
"35",10312934,0.415850975744473,"Marginal","Marginal"
"36",10312941,0.128621816284921,"Slight","Marginal"
"37",10313102,0.465229350355632,"Marginal","Marginal"
"38",10313200,0.318038393929072,"Marginal","Marginal"
"39",10313324,0.310124217985457,"Marginal","Marginal"
"40",10313678,0.437775355308005,"Marginal","Marginal"
"41",10313695,0.0503877144026985,"High","Marginal"
"42",10313862,0.102527316672853,"Moderate","Marginal"
"43",10314049,0.19426404499375,"Marginal","Marginal"
"44",10314162,0.386868672978905,"Marginal","Marginal"
"45",10314167,0.522867421990463,"Marginal","Marginal"
"46",10314219,0.553641017024024,"Marginal","Marginal"
"47",10314519,0.500441230623668,"Marginal","Marginal"
"48",10314789,0.0705178834859938,"High","Marginal"
"49",10315276,0.205446769067356,"Marginal","Marginal"
"50",10315785,0.333100810867213,"Marginal","Marginal"
"51",10315857,0.522415932118172,"Marginal","Marginal"
"52",10316377,0.103671180949396,"Moderate","Marginal"
"53",10312919,NA,NA,NA
"54",10312963,NA,NA,NA
"55",10312970,NA,NA,NA
"56",10313049,NA,NA,NA
"57",10313099,NA,NA,NA
"58",10313100,NA,NA,NA
"59",10313280,NA,NA,NA
"60",10313333,NA,NA,NA
"61",10313462,NA,NA,NA
"62",10313497,NA,NA,NA
"63",10313585,NA,NA,NA
"64",10313625,NA,NA,NA
"65",10313660,NA,NA,NA
"66",10314081,NA,NA,NA
"67",10314285,NA,NA,NA
"68",10314500,NA,NA,NA
"69",10314598,NA,NA,NA
"70",10314715,NA,NA,NA
"71",10315166,NA,NA,NA
"72",10315456,NA,NA,NA
"73",10315493,NA,NA,NA
"74",10315500,NA,NA,NA
"75",10316312,NA,NA,NA
"76",10316357,NA,NA,NA
"77",10313437,NA,NA,NA
"78",10313739,NA,NA,NA
"79",10313747,NA,NA,NA
"80",10313890,NA,NA,NA
"81",10314165,NA,NA,NA
"82",10314237,NA,NA,NA
"83",10314556,NA,NA,NA
"84",10315038,NA,NA,NA
"85",10315685,NA,NA,NA
"86",10316084,NA,NA,NA
"87",10316404,NA,NA,NA
"88",10312957,NA,NA,NA
"89",10313540,NA,NA,NA
"90",10313815,NA,NA,NA
"91",10314226,NA,NA,NA
"92",10314257,NA,NA,NA
"93",10315128,NA,NA,NA
"94",10315235,NA,NA,NA
"95",10315649,NA,NA,NA
"96",10315884,NA,NA,NA
"97",10315968,NA,NA,NA
"98",10313210,0.121286240120308,"High","Marginal"
