"continent","iso","admin_0","admin_1","t_lci","t_med","t_uci","scenario"
"Africa","AGO","Angola","Bengo","40+","40+","40+","Optimistic"
"Africa","AGO","Angola","Benguela","40+","40+","40+","Optimistic"
"Africa","AGO","Angola","Bie","40+","40+","40+","Optimistic"
"Africa","AGO","Angola","Cabinda","40+","40+","40+","Optimistic"
"Africa","AGO","Angola","Cuando Cubango","40+","40+","40+","Optimistic"
"Africa","AGO","Angola","Cuanza Norte","40+","40+","40+","Optimistic"
"Africa","AGO","Angola","Cuanza Sul","40+","40+","40+","Optimistic"
"Africa","AGO","Angola","Cunene","40+","40+","40+","Optimistic"
"Africa","AGO","Angola","Huambo","40+","40+","40+","Optimistic"
"Africa","AGO","Angola","Huila","40+","40+","40+","Optimistic"
"Africa","AGO","Angola","Luanda","40+","40+","40+","Optimistic"
"Africa","AGO","Angola","Lunda Norte","40+","40+","40+","Optimistic"
"Africa","AGO","Angola","Lunda Sul","40+","40+","40+","Optimistic"
"Africa","AGO","Angola","Malanje","40+","40+","40+","Optimistic"
"Africa","AGO","Angola","Moxico","40+","40+","40+","Optimistic"
"Africa","AGO","Angola","Namibe","28","31.56","36.14","Optimistic"
"Africa","AGO","Angola","Uige","40+","40+","40+","Optimistic"
"Africa","AGO","Angola","Zaire","40+","40+","40+","Optimistic"
"Africa","BDI","Burundi","Bubanza","40+","40+","40+","Optimistic"
"Africa","BDI","Burundi","Bujumbura Mairie","22.16","23.5","25","Optimistic"
"Africa","BDI","Burundi","Bujumbura Rural","28.32","30.48","33","Optimistic"
"Africa","BDI","Burundi","Bururi","7.43","7.7","7.99","Optimistic"
"Africa","BDI","Burundi","Cankuzo","40+","40+","40+","Optimistic"
"Africa","BDI","Burundi","Cibitoke","40+","40+","40+","Optimistic"
"Africa","BDI","Burundi","Gitega","40+","40+","40+","Optimistic"
"Africa","BDI","Burundi","Karuzi","40+","40+","40+","Optimistic"
"Africa","BDI","Burundi","Kayanza","40+","40+","40+","Optimistic"
"Africa","BDI","Burundi","Kirundo","40+","40+","40+","Optimistic"
"Africa","BDI","Burundi","Makamba","40+","40+","40+","Optimistic"
"Africa","BDI","Burundi","Muramvya","40+","40+","40+","Optimistic"
"Africa","BDI","Burundi","Muyinga","40+","40+","40+","Optimistic"
"Africa","BDI","Burundi","Mwaro","13.98","14.57","15.23","Optimistic"
"Africa","BDI","Burundi","Ngozi","40+","40+","40+","Optimistic"
"Africa","BDI","Burundi","Rumonge","40+","40+","40+","Optimistic"
"Africa","BDI","Burundi","Rutana","40+","40+","40+","Optimistic"
"Africa","BDI","Burundi","Ruyigi","40+","40+","40+","Optimistic"
"Africa","BEN","Benin","Alibori","40+","40+","40+","Optimistic"
"Africa","BEN","Benin","Atakora","40+","40+","40+","Optimistic"
