"","iso3c","hrp2"
"1","AFG",1
"2","AGO",1
"3","ARE",0
"4","BDI",1
"5","BEL",1
"6","BEN",1
"7","BFA",1
"8","BGD",1
"9","BOL",1
"10","BTN",1
"11","CAF",1
"12","CIV",1
"13","CMR",0.437756131300614
"14","COD",1
"15","COG",1
"16","COM",1
"17","CPV",0
"18","DJI",0.690114657576697
"19","ERI",0.178893228614941
"20","ETH",0.736064537015427
"21","GHA",1
"22","GIN",1
"23","GMB",1
"24","GNB",1
"25","GTM",1
"26","GUY",1
"27","HND",1
"28","HTI",1
"29","IDN",0
"30","KEN",1
"31","KHM",1
"32","LAO",1
"33","LBR",1
"34","LKA",0
"35","MDG",0.0239297527269447
"36","MLI",1
"37","MMR",1
"38","MOZ",0.971195888777422
"39","MRT",1
"40","MWI",1
"41","NER",0.908802245984024
"42","NGA",1
"43","NIC",1
"44","NPL",1
"45","PAK",1
"46","PHL",1
"47","PNG",0.2022480873617
"48","PRK",1
"49","PRY",0
"50","RWA",0
"51","SDN",1
"52","SEN",1
"53","SLB",1
"54","SLE",1
"55","SOM",1
"56","SSD",1
"57","STP",0.379878244152515
"58","SWZ",0.498375040623984
"59","TCD",0.259164733178654
"60","TGO",1
"61","THA",1
"62","TLS",1
"63","TZA",0.00482008847007997
"64","UGA",0.96572855970319
"65","VEN",1
"66","ZMB",1
"67","ZWE",0.902329649654094
