"continent","iso","admin_0","admin_1","t_lci","t_med","t_uci","scenario"
"Africa","AGO","Angola","Bengo","40+","40+","40+","Central"
"Africa","AGO","Angola","Benguela","11","11.72","12.54","Central"
"Africa","AGO","Angola","Bie","40+","40+","40+","Central"
"Africa","AGO","Angola","Cabinda","40+","40+","40+","Central"
"Africa","AGO","Angola","Cuando Cubango","40+","40+","40+","Central"
"Africa","AGO","Angola","Cuanza Norte","40+","40+","40+","Central"
"Africa","AGO","Angola","Cuanza Sul","40+","40+","40+","Central"
"Africa","AGO","Angola","Cunene","11.94","12.79","13.78","Central"
"Africa","AGO","Angola","Huambo","6.19","6.68","7.24","Central"
"Africa","AGO","Angola","Huila","6.94","7.33","7.78","Central"
"Africa","AGO","Angola","Luanda","28.95","32.48","36.99","Central"
"Africa","AGO","Angola","Lunda Norte","40+","40+","40+","Central"
"Africa","AGO","Angola","Lunda Sul","40+","40+","40+","Central"
"Africa","AGO","Angola","Malanje","40+","40+","40+","Central"
"Africa","AGO","Angola","Moxico","40+","40+","40+","Central"
"Africa","AGO","Angola","Namibe","8.61","9.22","9.92","Central"
"Africa","AGO","Angola","Uige","40+","40+","40+","Central"
"Africa","AGO","Angola","Zaire","40+","40+","40+","Central"
"Africa","BDI","Burundi","Bubanza","4.79","4.95","5.12","Central"
"Africa","BDI","Burundi","Bujumbura Mairie","3.72","3.83","3.96","Central"
"Africa","BDI","Burundi","Bujumbura Rural","3.74","3.86","3.98","Central"
"Africa","BDI","Burundi","Bururi","2.51","2.61","2.7","Central"
"Africa","BDI","Burundi","Cankuzo","40+","40+","40+","Central"
"Africa","BDI","Burundi","Cibitoke","6.56","6.83","7.13","Central"
"Africa","BDI","Burundi","Gitega","8.83","9.29","9.8","Central"
"Africa","BDI","Burundi","Karuzi","31.41","35.41","40+","Central"
"Africa","BDI","Burundi","Kayanza","6.45","6.71","7","Central"
"Africa","BDI","Burundi","Kirundo","25.75","28.38","31.6","Central"
"Africa","BDI","Burundi","Lake Tanganyika","6.51","6.78","7.07","Central"
"Africa","BDI","Burundi","Makamba","9.67","10.07","10.5","Central"
"Africa","BDI","Burundi","Muramvya","4.48","4.65","4.83","Central"
"Africa","BDI","Burundi","Muyinga","30.95","34.82","39.81","Central"
"Africa","BDI","Burundi","Mwaro","3.47","3.6","3.74","Central"
"Africa","BDI","Burundi","Ngozi","15.92","16.97","18.17","Central"
"Africa","BDI","Burundi","Rumonge","4.89","5.05","5.23","Central"
"Africa","BDI","Burundi","Rutana","15.97","17.03","18.24","Central"
"Africa","BDI","Burundi","Ruyigi","31.72","35.8","40+","Central"
"Africa","BEN","Benin","Alibori","40+","40+","40+","Central"
"Africa","BEN","Benin","Atakora","40+","40+","40+","Central"
"Africa","BEN","Benin","Atlantique","40+","40+","40+","Central"
"Africa","BEN","Benin","Borgou","40+","40+","40+","Central"
"Africa","BEN","Benin","Collines","40+","40+","40+","Central"
"Africa","BEN","Benin","Couffo","40+","40+","40+","Central"
"Africa","BEN","Benin","Donga","40+","40+","40+","Central"
"Africa","BEN","Benin","Littoral","34.52","40+","40+","Central"
"Africa","BEN","Benin","Mono","40+","40+","40+","Central"
"Africa","BEN","Benin","Oueme","40+","40+","40+","Central"
"Africa","BEN","Benin","Plateau","40+","40+","40+","Central"
"Africa","BEN","Benin","Zou","40+","40+","40+","Central"
"Africa","BFA","Burkina Faso","Boucle du Mouhoun","31.17","34.85","39.51","Central"
"Africa","BFA","Burkina Faso","Cascades","19.32","20.8","22.53","Central"
"Africa","BFA","Burkina Faso","Centre","4.69","4.87","5.06","Central"
"Africa","BFA","Burkina Faso","Centre-Est","10.35","10.95","11.62","Central"
"Africa","BFA","Burkina Faso","Centre-Nord","18.19","19.5","21.01","Central"
"Africa","BFA","Burkina Faso","Centre-Ouest","24.31","26.7","29.61","Central"
"Africa","BFA","Burkina Faso","Centre-Sud","10.09","10.67","11.31","Central"
"Africa","BFA","Burkina Faso","Est","40+","40+","40+","Central"
"Africa","BFA","Burkina Faso","Haut-Bassins","13.68","14.41","15.21","Central"
"Africa","BFA","Burkina Faso","Nord","11.16","11.67","12.22","Central"
"Africa","BFA","Burkina Faso","Plateau-Central","10.43","11.04","11.72","Central"
"Africa","BFA","Burkina Faso","Sahel","19.04","20.48","22.15","Central"
"Africa","BFA","Burkina Faso","Sud-Ouest","40+","40+","40+","Central"
"Africa","BWA","Botswana","Central","1.43","1.74","2.22","Central"
"Africa","BWA","Botswana","Chobe","1.5","1.75","2.08","Central"
"Africa","BWA","Botswana","Francistown","1.5","1.75","2.08","Central"
"Africa","BWA","Botswana","Gaborone","1.43","1.74","2.21","Central"
"Africa","BWA","Botswana","Ghanzi","1.43","1.74","2.21","Central"
"Africa","BWA","Botswana","Jwaneng","1.43","1.74","2.21","Central"
"Africa","BWA","Botswana","Kgalagadi","1.43","1.74","2.21","Central"
"Africa","BWA","Botswana","Kgatleng","1.43","1.74","2.21","Central"
