"continent","iso","admin_0","admin_1","t_lci","t_med","t_uci","scenario"
"Africa","AGO","Angola","Bengo","40+","40+","40+","Optimistic"
"Africa","AGO","Angola","Benguela","40+","40+","40+","Optimistic"
"Africa","AGO","Angola","Bie","40+","40+","40+","Optimistic"
"Africa","AGO","Angola","Cabinda","40+","40+","40+","Optimistic"
"Africa","AGO","Angola","Cuando Cubango","40+","40+","40+","Optimistic"
"Africa","AGO","Angola","Cuanza Norte","40+","40+","40+","Optimistic"
"Africa","AGO","Angola","Cuanza Sul","40+","40+","40+","Optimistic"
"Africa","AGO","Angola","Cunene","40+","40+","40+","Optimistic"
"Africa","AGO","Angola","Huambo","40+","40+","40+","Optimistic"
"Africa","AGO","Angola","Huila","40+","40+","40+","Optimistic"
"Africa","AGO","Angola","Luanda","40+","40+","40+","Optimistic"
"Africa","AGO","Angola","Lunda Norte","40+","40+","40+","Optimistic"
"Africa","AGO","Angola","Lunda Sul","40+","40+","40+","Optimistic"
"Africa","AGO","Angola","Malanje","40+","40+","40+","Optimistic"
"Africa","AGO","Angola","Moxico","40+","40+","40+","Optimistic"
"Africa","AGO","Angola","Namibe","40+","40+","40+","Optimistic"
"Africa","AGO","Angola","Uige","40+","40+","40+","Optimistic"
"Africa","AGO","Angola","Zaire","40+","40+","40+","Optimistic"
"Africa","BDI","Burundi","Bubanza","18.55","20.07","21.85","Optimistic"
"Africa","BDI","Burundi","Bujumbura Mairie","9.88","10.51","11.22","Optimistic"
"Africa","BDI","Burundi","Bujumbura Rural","9.77","10.39","11.08","Optimistic"
"Africa","BDI","Burundi","Bururi","5.3","5.62","5.98","Optimistic"
"Africa","BDI","Burundi","Cankuzo","40+","40+","40+","Optimistic"
"Africa","BDI","Burundi","Cibitoke","40+","40+","40+","Optimistic"
"Africa","BDI","Burundi","Gitega","40+","40+","40+","Optimistic"
"Africa","BDI","Burundi","Karuzi","40+","40+","40+","Optimistic"
"Africa","BDI","Burundi","Kayanza","40+","40+","40+","Optimistic"
"Africa","BDI","Burundi","Kirundo","40+","40+","40+","Optimistic"
"Africa","BDI","Burundi","Lake Tanganyika","40+","40+","40+","Optimistic"
"Africa","BDI","Burundi","Makamba","40+","40+","40+","Optimistic"
"Africa","BDI","Burundi","Muramvya","16.82","18.54","20.64","Optimistic"
"Africa","BDI","Burundi","Muyinga","40+","40+","40+","Optimistic"
"Africa","BDI","Burundi","Mwaro","8.66","9.18","9.77","Optimistic"
"Africa","BDI","Burundi","Ngozi","40+","40+","40+","Optimistic"
"Africa","BDI","Burundi","Rumonge","25.31","28.18","31.79","Optimistic"
"Africa","BDI","Burundi","Rutana","40+","40+","40+","Optimistic"
"Africa","BDI","Burundi","Ruyigi","40+","40+","40+","Optimistic"
"Africa","BEN","Benin","Alibori","40+","40+","40+","Optimistic"
