"continent","iso","admin_0","admin_1","t_lci","t_med","t_uci","scenario"
"Africa","AGO","Angola","Bengo","5.67","5.93","6.22","Pessimistic"
"Africa","AGO","Angola","Benguela","3.36","3.52","3.7","Pessimistic"
"Africa","AGO","Angola","Bie","13.87","14.97","16.27","Pessimistic"
"Africa","AGO","Angola","Cabinda","7.4","7.75","8.14","Pessimistic"
"Africa","AGO","Angola","Cuando Cubango","8.85","9.28","9.77","Pessimistic"
"Africa","AGO","Angola","Cuanza Norte","8.9","9.34","9.83","Pessimistic"
"Africa","AGO","Angola","Cuanza Sul","5.82","6.1","6.4","Pessimistic"
"Africa","AGO","Angola","Cunene","3.64","3.82","4.02","Pessimistic"
"Africa","AGO","Angola","Huambo","2.02","2.13","2.25","Pessimistic"
"Africa","AGO","Angola","Huila","2.63","2.75","2.89","Pessimistic"
"Africa","AGO","Angola","Luanda","3.76","3.94","4.15","Pessimistic"
"Africa","AGO","Angola","Lunda Norte","14.24","15.07","16.01","Pessimistic"
"Africa","AGO","Angola","Lunda Sul","8.64","9.09","9.58","Pessimistic"
"Africa","AGO","Angola","Malanje","7.8","8.16","8.56","Pessimistic"
"Africa","AGO","Angola","Moxico","14.28","15.12","16.06","Pessimistic"
"Africa","AGO","Angola","Namibe","2.52","2.68","2.86","Pessimistic"
"Africa","AGO","Angola","Uige","15.3","16.27","17.37","Pessimistic"
"Africa","AGO","Angola","Zaire","13.25","14.26","15.43","Pessimistic"
"Africa","BDI","Burundi","Bubanza","2.46","2.54","2.63","Pessimistic"
"Africa","BDI","Burundi","Bujumbura Mairie","1.92","1.97","2.04","Pessimistic"
"Africa","BDI","Burundi","Bujumbura Rural","1.91","1.97","2.03","Pessimistic"
"Africa","BDI","Burundi","Bururi","1.44","1.5","1.58","Pessimistic"
"Africa","BDI","Burundi","Cankuzo","5.75","5.96","6.19","Pessimistic"
"Africa","BDI","Burundi","Cibitoke","2.49","2.57","2.66","Pessimistic"
"Africa","BDI","Burundi","Gitega","3","3.11","3.23","Pessimistic"
"Africa","BDI","Burundi","Karuzi","4.85","5","5.16","Pessimistic"
"Africa","BDI","Burundi","Kayanza","2.65","2.74","2.83","Pessimistic"
"Africa","BDI","Burundi","Kirundo","4.78","4.93","5.1","Pessimistic"
"Africa","BDI","Burundi","Lake Tanganyika","2.5","2.59","2.68","Pessimistic"
"Africa","BDI","Burundi","Makamba","3.13","3.24","3.35","Pessimistic"
"Africa","BDI","Burundi","Muramvya","2.22","2.3","2.37","Pessimistic"
"Africa","BDI","Burundi","Muyinga","5.75","5.96","6.18","Pessimistic"
"Africa","BDI","Burundi","Mwaro","1.89","1.96","2.03","Pessimistic"
"Africa","BDI","Burundi","Ngozi","4.1","4.24","4.39","Pessimistic"
"Africa","BDI","Burundi","Rumonge","1.87","1.94","2.02","Pessimistic"
"Africa","BDI","Burundi","Rutana","4.08","4.22","4.37","Pessimistic"
"Africa","BDI","Burundi","Ruyigi","5.86","6.07","6.31","Pessimistic"
"Africa","BEN","Benin","Alibori","40+","40+","40+","Pessimistic"
"Africa","BEN","Benin","Atakora","40+","40+","40+","Pessimistic"
"Africa","BEN","Benin","Atlantique","40+","40+","40+","Pessimistic"
"Africa","BEN","Benin","Borgou","40+","40+","40+","Pessimistic"
"Africa","BEN","Benin","Collines","40+","40+","40+","Pessimistic"
"Africa","BEN","Benin","Couffo","40+","40+","40+","Pessimistic"
"Africa","BEN","Benin","Donga","40+","40+","40+","Pessimistic"
"Africa","BEN","Benin","Littoral","15.97","17.2","18.63","Pessimistic"
"Africa","BEN","Benin","Mono","40+","40+","40+","Pessimistic"
"Africa","BEN","Benin","Oueme","26.9","30.26","34.59","Pessimistic"
"Africa","BEN","Benin","Plateau","33.39","38.74","40+","Pessimistic"
"Africa","BEN","Benin","Zou","40+","40+","40+","Pessimistic"
"Africa","BFA","Burkina Faso","Boucle du Mouhoun","7.6","7.85","8.1","Pessimistic"
"Africa","BFA","Burkina Faso","Cascades","7.16","7.46","7.78","Pessimistic"
"Africa","BFA","Burkina Faso","Centre","2.52","2.61","2.7","Pessimistic"
"Africa","BFA","Burkina Faso","Centre-Est","4.63","4.77","4.91","Pessimistic"
"Africa","BFA","Burkina Faso","Centre-Nord","7.06","7.35","7.67","Pessimistic"
"Africa","BFA","Burkina Faso","Centre-Ouest","7.62","7.86","8.12","Pessimistic"
"Africa","BFA","Burkina Faso","Centre-Sud","4.59","4.73","4.88","Pessimistic"
"Africa","BFA","Burkina Faso","Est","10.87","11.35","11.87","Pessimistic"
"Africa","BFA","Burkina Faso","Haut-Bassins","7.08","7.37","7.69","Pessimistic"
"Africa","BFA","Burkina Faso","Nord","5.43","5.62","5.82","Pessimistic"
"Africa","BFA","Burkina Faso","Plateau-Central","4.63","4.76","4.9","Pessimistic"
"Africa","BFA","Burkina Faso","Sahel","7.17","7.46","7.78","Pessimistic"
"Africa","BFA","Burkina Faso","Sud-Ouest","39.98","40+","40+","Pessimistic"
"Africa","BWA","Botswana","Central","1.32","1.57","1.95","Pessimistic"
"Africa","BWA","Botswana","Chobe","1.32","1.57","1.96","Pessimistic"
"Africa","BWA","Botswana","Francistown","1.32","1.57","1.95","Pessimistic"
"Africa","BWA","Botswana","Gaborone","1.32","1.57","1.95","Pessimistic"
"Africa","BWA","Botswana","Ghanzi","1.32","1.57","1.95","Pessimistic"
"Africa","BWA","Botswana","Jwaneng","1.32","1.57","1.95","Pessimistic"
"Africa","BWA","Botswana","Kgalagadi","1.32","1.57","1.95","Pessimistic"
